<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2014/5/7,10:35:00,14060,14070,14020,14025,9342
2014/5/7,10:40:00,14020,14040,14015,14025,8216
2014/5/7,10:45:00,14020,14025,13985,14000,21400
2014/5/7,10:50:00,14000,14030,13990,14030,12736
2014/5/7,10:55:00,14030,14050,14020,14030,13326
2014/5/7,11:00:00,14035,14050,14025,14035,9684
2014/5/7,11:05:00,14040,14055,14035,14040,10552
2014/5/7,11:10:00,14040,14070,14030,14035,12484
2014/5/7,11:15:00,14035,14040,14015,14025,11430
2014/5/7,11:20:00,14020,14025,14005,14025,8420
2014/5/7,11:25:00,14025,14030,13985,14000,12716
2014/5/7,11:30:00,14000,14015,13970,13995,16220
2014/5/7,13:35:00,13995,14000,13965,13970,14702
2014/5/7,13:40:00,13970,13985,13960,13965,11424
2014/5/7,13:45:00,13970,13985,13965,13970,7462
2014/5/7,13:50:00,13975,14000,13970,13985,11362
2014/5/7,13:55:00,13990,14000,13985,13995,5732
2014/5/7,14:00:00,13995,14000,13955,13970,14840
2014/5/7,14:05:00,13970,13990,13965,13980,6606
2014/5/7,14:10:00,13980,13980,13940,13950,10596
2014/5/7,14:15:00,13950,13960,13925,13945,18316
2014/5/7,14:20:00,13950,13965,13930,13960,11568
2014/5/7,14:25:00,13960,13975,13940,13950,10180
2014/5/7,14:30:00,13945,13960,13940,13960,5532
2014/5/7,14:35:00,13960,13970,13940,13960,8150
2014/5/7,14:40:00,13955,13970,13950,13950,7686
2014/5/7,14:45:00,13950,13965,13945,13960,5840
2014/5/7,14:50:00,13955,14045,13945,14040,44438
2014/5/7,14:55:00,14035,14090,14025,14060,32754
2014/5/7,15:00:00,14060,14120,14060,14090,49024
2014/5/8,09:05:00,14150,14150,14080,14125,38452
2014/5/8,09:10:00,14130,14175,14115,14115,27398
2014/5/8,09:15:00,14120,14130,14110,14130,13142
2014/5/8,09:20:00,14130,14130,14080,14080,14858
2014/5/8,09:25:00,14085,14085,13990,14035,42782
2014/5/8,09:30:00,14035,14040,14020,14025,10108
2014/5/8,09:35:00,14030,14035,14010,14035,9198
2014/5/8,09:40:00,14030,14030,13985,13990,15906
2014/5/8,09:45:00,13990,14015,13980,14005,9912
2014/5/8,09:50:00,14005,14010,13975,13975,11842
2014/5/8,09:55:00,13980,13995,13975,13995,7816
2014/5/8,10:00:00,13995,14005,13985,14005,4848
2014/5/8,10:05:00,14005,14035,13995,14030,14062
2014/5/8,10:10:00,14030,14040,14020,14030,11018
2014/5/8,10:15:00,14025,14040,14005,14010,11422
2014/5/8,10:35:00,14015,14035,14000,14005,9658
2014/5/8,10:40:00,14005,14030,13995,14025,10266
2014/5/8,10:45:00,14030,14055,14015,14020,18092
2014/5/8,10:50:00,14015,14035,14005,14020,8840
2014/5/8,10:55:00,14015,14040,14015,14025,5876
2014/5/8,11:00:00,14030,14035,14020,14035,4862
2014/5/8,11:05:00,14035,14045,14020,14030,7002
2014/5/8,11:10:00,14035,14090,14030,14075,21854
2014/5/8,11:15:00,14075,14100,14065,14090,21620
2014/5/8,11:20:00,14090,14090,14070,14080,9884
2014/5/8,11:25:00,14075,14090,14060,14080,11952
2014/5/8,11:30:00,14085,14095,14065,14080,11420
2014/5/8,13:35:00,14075,14075,14020,14030,19892
2014/5/8,13:40:00,14030,14035,13970,13980,30636
2014/5/8,13:45:00,13980,14005,13960,14000,16096
2014/5/8,13:50:00,14000,14005,13985,13990,7682
2014/5/8,13:55:00,13990,14005,13985,13995,6912
2014/5/8,14:00:00,13990,14000,13970,13995,8228
2014/5/8,14:05:00,13995,14005,13980,13995,7104
2014/5/8,14:10:00,13995,13995,13950,13970,16932
2014/5/8,14:15:00,13965,13985,13960,13975,9130
2014/5/8,14:20:00,13975,13980,13970,13975,5114
2014/5/8,14:25:00,13975,14025,13970,14000,15856
2014/5/8,14:30:00,14000,14005,13985,13990,6968
2014/5/8,14:35:00,13990,13990,13960,13975,9774
2014/5/8,14:40:00,13980,13990,13940,13985,20144
2014/5/8,14:45:00,13990,14015,13975,13975,19456
2014/5/8,14:50:00,13980,14010,13970,13970,13818
2014/5/8,14:55:00,13970,13975,13930,13960,22422
2014/5/8,15:00:00,13960,13975,13900,13915,42204
2014/5/9,09:05:00,13950,13975,13890,13915,37398
2014/5/9,09:10:00,13915,13930,13860,13860,27830
2014/5/9,09:15:00,13860,13895,13850,13875,14854
2014/5/9,09:20:00,13880,13895,13865,13890,11806
2014/5/9,09:25:00,13890,13970,13890,13925,32932
2014/5/9,09:30:00,13925,13930,13890,13895,11540
2014/5/9,09:35:00,13895,13905,13885,13895,9530
2014/5/9,09:40:00,13895,13895,13865,13865,8756
2014/5/9,09:45:00,13865,13870,13820,13840,28320
2014/5/9,09:50:00,13840,13875,13805,13860,31904
2014/5/9,09:55:00,13865,13865,13805,13825,19584
2014/5/9,10:00:00,13825,13835,13815,13830,8956
2014/5/9,10:05:00,13825,13845,13820,13830,9250
2014/5/9,10:10:00,13830,13835,13790,13820,21452
2014/5/9,10:15:00,13825,13830,13810,13825,5566
2014/5/9,10:35:00,13820,13830,13805,13810,7886
2014/5/9,10:40:00,13810,13820,13795,13800,8336
2014/5/9,10:45:00,13805,13825,13795,13815,6288
2014/5/9,10:50:00,13815,13850,13800,13840,11716
